variant	$\lambda$	$\mu$	$\sigma$	$f_o$
1.0		0.6357367221644276	0.0007679196368325243	0.6342008828907625
2.0		0.5090724908014546	0.0015307440925477612	0.506011002616359
3.0	0.09090909090909091	0.6329595668896061	0.0008479888173424208	0.6312635892549212
3.0	0.18181818181818182	0.6328902363494788	0.0008708801693504126	0.6311484760107781
3.0	0.2727272727272727	0.6328500486139751	0.0008484478352277189	0.6311531529435197
3.0	0.36363636363636365	0.6325031840182734	0.0008596012729498769	0.6307839814723737
3.0	0.4545454545454546	0.6317912230976657	0.0008195086881560336	0.6301522057213536
3.0	0.5454545454545454	0.6298950208751679	0.0007211318725682388	0.6284527571300315
3.0	0.6363636363636364	0.6274784177590351	0.0007745361265773568	0.6259293455058804
3.0	0.7272727272727273	0.6163428740398592	0.0007845594617164576	0.6147737551164263
3.0	0.8181818181818182	0.6034925937701329	0.0007267361065215458	0.6020391215570898
3.0	0.9090909090909092	0.5653444715863223	0.0010925588344479734	0.5631593539174263
