lr	arq	$\mu$	$\sigma$	$f_o$
0.001	[32]	0.7361509035331694	0.002087092995915718	0.731976717541338
0.01	[32]	0.7259000304592573	0.006369259206971122	0.7131615120453151
0.001	[128]	0.7490679427871775	0.0063792090817332055	0.736309524623711
0.01	[128]	0.7323768589239177	0.004224527014702349	0.723927804894513
0.001	[512]	0.7708837750519508	0.01851631376438735	0.7338511475231762
0.01	[512]	0.7338880122556466	0.005524209339312395	0.7228395935770218
0.001	[512, 128]	0.7734873485916794	0.019732465066505174	0.7340224184586691
0.01	[512, 128]	0.7351099102952946	0.00671423801901415	0.7216814342572663
0.001	[128, 32]	0.7487590616329882	0.006041282502795755	0.7366764966273968
0.01	[128, 32]	0.7341365367324115	0.0038249516447104136	0.7264866334429907
0.001	[512, 128, 32]	0.7770087837712223	0.020619543313775836	0.7357696971436706
0.01	[512, 128, 32]	0.7460119155510336	0.005656524195251886	0.7346988671605299
0.001	[128, 32, 8]	0.7499965010202869	0.006789994109270319	0.7364165128017462
0.01	[128, 32, 8]	0.7337712451296134	0.0067413481305398084	0.7202885488685339
