lr	arq	$\mu$	$\sigma$	$f_o$
0.001	[32]	0.7270990457600555	0.0015733473603268004	0.7239523510394018
0.01	[32]	0.7204117477635116	0.00670766910227724	0.7069964095589572
0.001	[128]	0.738402233392347	0.0035377098754561876	0.7313268136414346
0.01	[128]	0.7274175493028346	0.0046112775840430895	0.7181949941347484
0.001	[512]	0.7546222415304568	0.01584029636224853	0.7229416488059597
0.01	[512]	0.7313757000330872	0.005886902386922724	0.7196018952592417
0.001	[512, 128]	0.7556390984667458	0.01537751055626977	0.7248840773542062
0.01	[512, 128]	0.7344500118010882	0.006459756346062805	0.7215304991089625
0.001	[128, 32]	0.7374959617957577	0.0037559652767170343	0.7299840312423237
0.01	[128, 32]	0.728224338420285	0.00444604849688613	0.7193322414265128
0.001	[512, 128, 32]	0.7549691861523083	0.015465125867783137	0.724038934416742
0.01	[512, 128, 32]	0.734995883086891	0.005391476526716846	0.7242129300334573
0.001	[128, 32, 8]	0.7367146262649511	0.004053922079212519	0.7286067821065261
0.01	[128, 32, 8]	0.7279649771876043	0.0030466617144845986	0.7218716537586352
