learning_rate	n_estimators	max_depth	$\mu$	$\sigma$	$f_o$
0.1	500.0	6.0	0.733102209979618	0.0012643985579412625	0.7305734128637354
0.1	500.0	12.0	0.7357230696071605	0.0010479787395750364	0.7336271121280105
0.1	1000.0	6.0	0.7339916125185516	0.0018294612022192768	0.7303326901141131
0.1	1000.0	12.0	0.7363849062125276	0.0012772909859266235	0.7338303242406744
0.3	500.0	6.0	0.7327322462691337	0.001553574057665853	0.7296250981538019
0.3	500.0	12.0	0.7337791320620765	0.001151589407197898	0.7314759532476807
0.3	1000.0	6.0	0.7338325373885005	0.0009811182113997111	0.731870300965701
0.3	1000.0	12.0	0.7344207452072404	0.0015145676033713712	0.7313916100004977
0.5	500.0	6.0	0.7323443791676925	0.002010395936003022	0.7283235872956865
0.5	500.0	12.0	0.7303333322199304	0.001097844754794492	0.7281376427103413
0.5	1000.0	6.0	0.7314503504899548	0.0011412361235165428	0.7291678782429217
0.5	1000.0	12.0	0.7311153156932335	0.001168133553495241	0.728779048586243
1.0	500.0	6.0	0.7261633469645215	0.0012395103830195292	0.7236843261984824
1.0	500.0	12.0	0.7228459004216192	0.001346720328448203	0.7201524597647229
1.0	1000.0	6.0	0.7262089187919429	0.000896861561396764	0.7244151956691494
1.0	1000.0	12.0	0.723774180966217	0.0010565106461997778	0.7216611596738175
